reviewID,saleID,sellerID,buyerID,comment,txnID,stars
58,0982697813,A6U423ORF4SZL,A17BUUBOU0598B,"<a data-hook=""product-link-linked"" class=""a-link-normal"" href=""/GLO-Premium-Multi-device/dp/09826978",58,4
59,0982697813,A6U423ORF4SZL,A3963R7EPE3A7E,I am not a Biblical scholar whatsoever not have I ever played one on TV.  I enjoy reading the Bible ,59,5
60,0982697813,A6U423ORF4SZL,AZYJE40XW6MFG,This is a Bible software like I never seen before. It is so full of very useful material that I don',60,5
61,0982697813,A6U423ORF4SZL,A3TPNC3TKGCCEI,"GLO is a visually stunning bible program with so much to offer. Gorgeous graphics, a unique interfac",61,4
62,0982697813,A6U423ORF4SZL,A3G007LQX6KGOD,GLO Premium is a fantastic piece of software for everyone from the casual bible studyist to dedicate,62,5
63,0982697813,A6U423ORF4SZL,A3BNMHRW2R35LK,I've not had nearly enough to look at this all the way through. It would probably take years. But th,63,5
64,0982697813,A6U423ORF4SZL,A1PI8VBCXXSGC7,"It took a little over an hour for me to do a full media install of  Glo Premium on my ASUS, Windows ",64,4
65,0982697813,A6U423ORF4SZL,A1D7VWS3DWS7X8,"I got this installed on my computer, and it was almost overwhelming how much data and information th",65,5
66,1413313701,A2QK6CWANYGXTB,ATZJNEXX7LWD3,I don't know anything about writing a will.  But doing it the traditional way can't be any easier th,66,4
67,1413313701,A2QK6CWANYGXTB,A2P6QCZWW3H1X6,"I just couldn't get to grips with this software. It's not bad, but I just thought that in this case,",67,2
68,1413313701,A2QK6CWANYGXTB,A2AMTEB5UZEOXE,"My husband & I used this software in late 2010- early 2011 to update our wills, a long overdue neces",68,5
69,1413313701,A2QK6CWANYGXTB,A3PJZ8TU8FDQ1K,"For me, WillMaker served better as a guide than as a replacement for an attorney. I admit it. I drug",69,4
70,1413313701,A2QK6CWANYGXTB,A2ZJMLZ1IA2YA9,A will is a must even if you don't have much of an estate. If you die without a will your estate mus,70,5
71,1413313701,A2QK6CWANYGXTB,A14JBDSWKPKTZA,"Super fast install in Windows 7.
Includes a small book called, ""Legal Companion"". It just gives you ",71,5
72,1413313701,A2QK6CWANYGXTB,A2L6QS8SVHT9RG,"I wanted some quick and easy software to create a legal will for myself (you know, just in case, alw",72,4
73,1413313701,A2QK6CWANYGXTB,A3R1WFO4KIUQXZ,I have Nolo products I bought in the past and I have used Quicken since their first version (I got i,73,2
74,1413313701,A2QK6CWANYGXTB,A5JLAU2ARJ0BO,This is the third version of Quicken Willmaker Plus I have used.  I liked the 2009 version.  Unfortu,74,3
75,1413313701,A2QK6CWANYGXTB,ACVDL5QRCOPE1,I have to say that this software is great to save yourself a lot of legal fees. From what I gathered,75,4
76,1413313701,A2QK6CWANYGXTB,A3H7ADUP07D93H,"This product is quite easy to install and simple to use, but doesn't have much explanation about the",76,3
77,1413313701,A2QK6CWANYGXTB,A3BNMHRW2R35LK,"If you're like us, you thought about getting something like this for a long time but since you're in",77,5
78,1413313701,A2QK6CWANYGXTB,A3FFKU2MTCOBM1,"There are multiple versions of Quicken Willmaker 2011. This version,<a data-hook=""product-link-linke",78,5
79,1413313701,A2QK6CWANYGXTB,A1TR1R2QKWRSRA,"Quicken's WillMaker Plus 2011 is simple to install and comes with three free bonuses:  ""Your Little ",79,4
80,1413313701,A2QK6CWANYGXTB,A226VGZWOEBPGL,"If you are looking at this product, then it is probably for you. If you had a large estate that was ",80,5
81,1413313701,A2QK6CWANYGXTB,A11SWG9T60IQH8,"This program is remarkable, it really is.  Included are lengthy, exhaustive lists, dozens of do-it-y",81,5
82,1413313728,A19RW25Q6206I3,A1T2ZO4ARVSUGE,"This Windows ""program"" is a hodge-podge amalgamation of a variety of eBooks, PDFs, and help guides w",82,2
83,1413313728,A19RW25Q6206I3,A16RI68PS6T5CA,"As an owner of a small business, there are often times when I need a simple contract or legal docume",83,4
84,1413313728,A19RW25Q6206I3,A1GWG5CWLKJ7ET,The pre-made contracts and forms are a blessing in disguise.  They are certainly very useful to get ,84,5
85,1413313728,A19RW25Q6206I3,A1HOLE9R6WPT85,"Before reading on, please note that the newer, updated version (2012) is now available for less --&n",85,4
86,1413313728,A19RW25Q6206I3,ALQ4USPEQ9L5N,"Quicken Legal Business Pro 2011 is meant for owners of small to medium businesses.  However, it cont",86,5
87,1413313728,A19RW25Q6206I3,A1GQRGB8FGSLIZ,Nolo does an excellent job in bringing together over 100 contracts forms.  From buying goods to sell,87,5
88,1413313728,A19RW25Q6206I3,ACVDL5QRCOPE1,This software is great for many different things. Anywhere from buying a house without an agent to s,88,5
89,1413313728,A19RW25Q6206I3,A11EYMH9UV9XG7,I've had this software for about 6 months now. And although I haven't officially used any of the for,89,5
90,1413313728,A19RW25Q6206I3,A26LQSC65AMTGK,This software is great.  It has a large selection of business legal forms ready for you to complete ,90,5
91,1413313728,A19RW25Q6206I3,A2SZLNSI5KOQJT,"If you are planning on starting a small home based or small office business, this software/guide wou",91,3
92,1413313728,A19RW25Q6206I3,A3LDLV1GWQJLEQ,The Quicken Legal Business Pro book and application is a terrific addition to my business software a,92,5
93,1413313728,A19RW25Q6206I3,A1D7VWS3DWS7X8,"This is a pretty good piece of software if you're a small company, looking to save some money on leg",93,5
94,1413313728,A19RW25Q6206I3,A3LGT6UZL99IW1,This program is ideal for the small business owner and home-based business. It uses a simple questio,94,5
95,1426296355,A2QNPH5TJ4QKN7,A3CAG7WLTAKPI,Received the order fast and it works on snow leppord! Installed on my MacBook pro in a matter of min,95,5
96,1426296355,A2QNPH5TJ4QKN7,A1MRPX3RM48T2I,The Complete National Geographic is a massive collection of every issue from 1888 - 2008.  That mean,96,3
97,1426296355,A2QNPH5TJ4QKN7,A32B6XWNR55SRL,"National Geographic is one of the items that is part of the fabric of our lives.  Every one of us, f",97,5
98,1426296355,A2QNPH5TJ4QKN7,A38KK0SZYEH5UD,"There's so much history in here...120 years, in a package you can hold in your hands, complete with ",98,5
99,1426296355,A2QNPH5TJ4QKN7,A22RY8N8CNDF3A,"All the National Geographics together, and easily searched! I made the 'mistake' of buying direct fr",99,5
100,1426296355,A2QNPH5TJ4QKN7,ARADXCOUVBS09,As of December 2009 there are definitely ways to copy the DVDs to a hard drive so that the DVDs are ,100,5
101,1426296355,A2QNPH5TJ4QKN7,A11REZES0TNBSD,"I'm going to order this, so this review isn't about the main product.

One of the things genealogist",101,5
102,1600775411,A14HDK1OLFYMVM,A3F3B6HY9RJI04,Easy to use. I like that you can use it on your computer but also learn more by transferring lessons,102,3
103,1600775411,A14HDK1OLFYMVM,AHQRU3MRORIWQ,This system is helpful for both beginners and advanced students. It is as good as other systems that,103,4
104,1600775411,A14HDK1OLFYMVM,A1SCANWWQTEG9I,I don't think this is a program that will really teach someone a whole language despite it's stated ,104,3
105,1600775411,A14HDK1OLFYMVM,A1WBEIH7Z37LN9,"It's kind of a fun program.  My boys (3 & 5) love computer ""games"", and to them, this is something o",105,4
106,1600775411,A14HDK1OLFYMVM,A2F2S1L61X1LA9,Instant Immersion Spanish is a good place to start learning Spanish.  The cost alone makes it a near,106,4
107,1600775411,A14HDK1OLFYMVM,A21OGQWFAKGC41,"Before ordering this product directly from Amazon, I did my homework by posting comments in the comm",107,4
108,1600775411,A14HDK1OLFYMVM,A1A21GIPMY89BZ,This is a slow and tedious way to learn a language and I am running on Win7 with an i7 processor and,108,1
109,1600775411,A14HDK1OLFYMVM,A141W8WHW9AC3H,"I found Instant Immersion to be ok -- I mean, it's no Rosetta Stone, but of course Rosetta Stone cos",109,4
110,1600775411,A14HDK1OLFYMVM,A3RF46CL8GDIN8,I wanted an easy way to learn spanish so that I could talk to my neighbors and some co-workers who p,110,3
111,1600775411,A14HDK1OLFYMVM,A8WAYVOKYBLO6,"This is a fairly typical learn by listening language system.  It's not bad, but it doesn't bring any",111,3
112,1600775411,A14HDK1OLFYMVM,A2YKWYC3WQJX5J,"I was thrilled to see Amazon present these, as I had wanted the Rosetta Stone version for years. Sin",112,3
113,1600775411,A14HDK1OLFYMVM,A301B6L3TCD7WL,I understand that there is a tendency to continue producing what a company thinks work. Learning a n,113,3
114,1600775411,A14HDK1OLFYMVM,A2WN1QF8GSVHYV,Takes a bit for slower computers to kick up the CD-ROM drive (I'd suggest loading this on you HD if ,114,4
115,1600775411,A14HDK1OLFYMVM,A3D5B2CBFNJB0K,"I don't think there's much I can add to the other reviewers here--there's lots of vocab, but not a l",115,4
116,1600775411,A14HDK1OLFYMVM,A3OXHLG6DIBRW8,"I have used ""Instant Immersion Spanish Levels 1,2 & 3"" for several months now and it is a complete S",116,3
117,1600775411,A14HDK1OLFYMVM,A1ZZR25X0CNOJX,"I like this langauge learning system MUCH better than other ones I've tried, such as Fluenz. I have ",117,4
118,1600775411,A14HDK1OLFYMVM,AYVM2DODURDLE,"I have wanted to learn Spanish as a second language for years.  I have used tapes, CDs and software,",118,4
119,1600775411,A14HDK1OLFYMVM,A3S3R88HA0HZG3,"If you want a good introduction to the Spanish language, I think this program would be helpful to yo",119,4
120,1600775411,A14HDK1OLFYMVM,A2JCJJNY43QQIV,"In my line of work, it's a great idea to learn another language, and Spanish being the main lingo ou",120,2
121,1615354336,A2DXENZNO2JT4F,A3FGJDBSMCSG7G,"The Encyclopedia Britannica 2011 Ultimate Edition (formerly ""Student and Home Edition"") builds on th",121,5
122,1615354336,A2DXENZNO2JT4F,A225G2TFM76GYX,I installed the software on both  Mac 10.6.4 and Win 7 machines and it works well.  Recommended.,122,4
123,B00003IRBU,A3KCKECEO3E2AN,A3TUWNDO2728F3,I loved this game.  Of course it didn't have all of the amazing features the others have.  I bought ,123,5
124,B00003IRBU,A3KCKECEO3E2AN,AI290A0Z9Y3XF,"You, as Nancy Drew, are asked to stay at your Aunt Eloise's house to solve a murder: Who killed Jake",124,4
125,B00003IRBU,A3KCKECEO3E2AN,AYJF535SFBGXO,"Ok, Secrets Can Kill was a good game, don't get me wrong! The graphics are okay, but the people look",125,4
126,B00003IRBU,A3KCKECEO3E2AN,A3A8ZWV1PQWXK5,"If you're going to get an ND (Nancy Drew) game at all, don't get this one, at least not until you're",126,2
127,B00003IRBU,A3KCKECEO3E2AN,A1P4RH7KMJ1SV2,I have now played all 3 of the Nancy Drew mystery games (that are available as I type this).  This o,127,4
128,B00003JAU9,A33LKRMLTQUWQA,A1IU7S4HCK1XK0,I couldn't wait to ditch the Windows ME that came on my new PC. I had plenty of RAM (you need at lea,128,4
129,B00003IRBV,A30LRB20LJ19OY,A3PD6NG6XL336W,Stay Tuned for Danger is the follow-up Nancy Drew game to the award-winning Secrets Can Kill. While ,129,2
130,B00003IRBV,A30LRB20LJ19OY,A3ANETCTMAN1NP,NOTE:I am posting this review on both product pages for this game since Amazon has the same game lis,130,4
131,B00003IRBV,A30LRB20LJ19OY,AI290A0Z9Y3XF,"Here you are again as Nancy Drew now solving another mystery: Why is Rick Arlen, the soap opera star",131,5
132,B00003IRBV,A30LRB20LJ19OY,AYJF535SFBGXO,"Stay Tuned for Danger is, once again, a Nancy Drew game I beat. I love it! I mean, this game pulls y",132,5
133,B00003JAU7,A2F2Y0BJS7V49Y,A16UJ76AFPJGEX,"I have used just about every version of Windows. These are my observations.

1. Windows 98. Windows ",133,5
134,B00003JAU7,A2F2Y0BJS7V49Y,A14JBDSWKPKTZA,"As a registered OEM system builder with Microsoft, I was invited and attended the introduction of W2",134,5
135,B00003IRBV,A30LRB20LJ19OY,A3A8ZWV1PQWXK5,This Nancy Drew game was a HUGE step from the previous one. The graphics were much better and you di,135,3
136,B00003JAU7,A2F2Y0BJS7V49Y,A5FS50VW0GWEE,I love the Microsoft Windows 2000 Professional. I think it manages all the things I have to do and i,136,5
137,B00003JAU7,A2F2Y0BJS7V49Y,AD0J5KK4WQXNS,The year is nearly 2004 and I am still using Windows 2000. I used to be an NT 4 user but 2000 has to,137,5
138,B00003JAU7,A2F2Y0BJS7V49Y,AG42CYU5P8NVQ,"The amount of BSODs have all but disappeared.  If you have a laptop, you can't go wrong with this.  ",138,5
139,B00003JAU7,A2F2Y0BJS7V49Y,A16SG04X5KYYKW,Excellent OS Very stable. I have a copy running non stop for 1.5 years with no reboots. i will be re,139,5
140,B00003IRBV,A30LRB20LJ19OY,AWIF8AR75LL9L,It is refreshing to have a game show up in the industry that seems sold out to blood and gore that i,140,5
141,B00003IRBV,A30LRB20LJ19OY,A1P4RH7KMJ1SV2,"This is the second game in the Nancy Drew software series that I've tried (I've also played ""Message",141,5
142,B00003JAU7,A2F2Y0BJS7V49Y,A1C9C1QOQB94RT,"When deciding on an operating system (OS), several factors come into play. Will this OS be intalled ",142,4
143,B00003JAU7,A2F2Y0BJS7V49Y,AE95Z3K6GVIC3,"It is worst piece of crap I ever had to install.  As a systems programmer, I can tell you that this ",143,1
144,B00003JAU7,A2F2Y0BJS7V49Y,ARXU3FESTWMJJ,"I got tired of the Win98 crashes, so decided to buy and install this. I do web design for a living a",144,4
145,B00004TYCR,A1U1G73EI5IRZF,A2G0O4Y8QE10AE,"I bought this program 2.5 years ago and have been using it to create plots for novels, short stories",145,5
146,B00004TYCR,A1U1G73EI5IRZF,ANEDXRFDZDL18,I've been a user of Dramatica since earlier versions. And while I find Dramatica has some good point,146,3
147,B00004TYCR,A1U1G73EI5IRZF,A3RF46CL8GDIN8,I was just looking for formatting software when I came across  Dramatica Pro and decided it was wort,147,4
148,B00004TYCR,A1U1G73EI5IRZF,A1PPD5TOR6VVYV,"Having worked with, and studied the Dramatica theory of story development, and also looked at and re",148,5
149,B00004TYCR,A1U1G73EI5IRZF,A1PPD5TOR6VVYV,"Dramatica is a way to organise your thoughts about theme, plot-theme, and characters into a story fo",149,5
150,B00004W62O,A1JJM6COMQOO4Y,A1LCS3WQEWUO6Y,This is a great extension to the Windows 98 line of operating systems. Unfortunately it is also the ,150,5
151,B00004W62O,A1JJM6COMQOO4Y,A20DZX38KRBIT8,I have this OS on an old laptop and it is truly madning. Crashes like there's no tommorw.  Security ,151,1
152,B00004W62O,A1JJM6COMQOO4Y,A16UJ76AFPJGEX,Windows Me is basically Windows 98 with a fancy new name to allude to the year it was released (2000,152,1
153,B00004W62O,A1JJM6COMQOO4Y,AE95Z3K6GVIC3,"I program computers, and we had number of compatibility problems with this OS.  MS dropped much of g",153,1
154,B00004W62O,A1JJM6COMQOO4Y,A1R9QOPV6HVEKF,.......it was invented.  Windows ME came with my new machine a P1500 with 128 Megs of RAM.  When the,154,1
155,B000050HEI,A2WM1KL9DQSQ18,A1P4RH7KMJ1SV2,"Finally! A really fun, exciting, game for girls -- that DOESN'T come in a pink box, for heaven's sak",155,5
156,B000050HEI,A2WM1KL9DQSQ18,A13BTMCSLTQ48R,This is an old Nancy Drew game. But I've learned not to pre-judge the older games; it's the plot and,156,4
157,B000050HEI,A2WM1KL9DQSQ18,A3MGDZ4LX7CLXW,"I think this game is when the company really got into it's groove. The first two were fun, don't get",157,5
158,B000050HEI,A2WM1KL9DQSQ18,A3PD6NG6XL336W,"Message in a Haunted Mansion is the third Nancy Drew game, and far superior compared to the first tw",158,5
159,B000050HEI,A2WM1KL9DQSQ18,A3ANETCTMAN1NP,"After success with the first two games in the Nancy Drew adventure game series, the creators tried t",159,4
160,B000050HEI,A2WM1KL9DQSQ18,A22F3BWM7RAHDA,"""Message"" is the first Nancy Drew Pc game that I have tried and I was very favorably impressed. The ",160,5
161,B000050HEI,A2WM1KL9DQSQ18,A1N2L9A6I686G5,"Yet another great Nancy Drew game!

In ""Message in a Haunted Mansion"", Nancy is hired to help renova",161,5
162,B000050HEI,A2WM1KL9DQSQ18,AYJF535SFBGXO,"Message in a Haunted Mansion is the 3rd Nancy Drew game of the series! I beat it also, and I love it",162,5
163,B000050HEI,A2WM1KL9DQSQ18,A3B20R4ZAH0Y2Y,The other reviewers have talked about the quality gameplay. I'll talk about how to play it as an adu,163,5
164,B000050HEI,A2WM1KL9DQSQ18,A3A8ZWV1PQWXK5,This was the first Nancy Drew game I played. I played it with my older sister and it took us 7 days ,164,4
165,B000050HEI,A2WM1KL9DQSQ18,A2EGK0YRDF4ZZB,"""Message in a Haunted Mansion"" was my second Nancy Drew game (my first was ""The Final Scene."") The g",165,4
166,B000050ZRE,A14HDK1OLFYMVM,AFFTVSSV0D5A1,"I am very satisfied with the purchase of this wireless router.
The setup took just a few minutes to ",166,5
167,B000050ZRE,A14HDK1OLFYMVM,A3TLPNECI4DG3N,Need to network computers on different floors?  This product can be used as a bridge or as an interf,167,5
168,B000050ZRE,A14HDK1OLFYMVM,A1MJWOYNJSZPPJ,You can't go wrong with this device.  It's the only hub I have that operates solely on power supplie,168,5
169,B000050ZRE,A14HDK1OLFYMVM,A2N4Y0OQ8RP88Y,I thought this to be very inexpensive for all that we got.  Great for the you boys for their compute,169,5
170,B000050ZRE,A14HDK1OLFYMVM,A24G9X47GNVI02,"very good computer the intel Dual Core i3-2120 3.3GHz CPU, 4GB DDR3 RAM, 500GB HDD configuration is ",170,5
171,B000050ZRE,A14HDK1OLFYMVM,A1JV5541KYYH9Y,fantastic deal. very fast. great screen. solid laptop. really good.,171,5
172,B000050ZRE,A14HDK1OLFYMVM,A3HM2ZVKF7Z8LJ,"Convertible
Size
HArd drive space
Like everything",172,5
173,B000050ZRE,A14HDK1OLFYMVM,A147A9US858FV8,awesome fast,173,5
174,B000050ZRE,A14HDK1OLFYMVM,A1HJTB0MIC4KQN,It covers screen barely on sides. Falls bit short on top n bottom too. It may look like large size g,174,5
175,B000050ZRE,A14HDK1OLFYMVM,A7NGASCWV27S7,thanks,175,5
176,B000050ZRE,A14HDK1OLFYMVM,A1V68ZGRMUT7YC,"I have been using this for over a month. It is very fast and starts up quickly, and screen is especi",176,5
177,B000050ZRE,A14HDK1OLFYMVM,AOEYPSPIR3HBL,Delivered on time and product was exactly as described. Would buy from this vendor again. Thank You,177,5
178,B000050ZRE,A14HDK1OLFYMVM,A3AKH3YQJ0POOA,Estupendo,178,5
179,B000050ZRE,A14HDK1OLFYMVM,A3OZW1RD3LLRK8,Took a whole to get here but it works well and seems to be well constructed. Connected mine to a M2 ,179,5
180,B000050ZRE,A14HDK1OLFYMVM,A24KVXQCVQ4XE8,great value wap,180,5
181,B000050ZRE,A14HDK1OLFYMVM,A18S5P9VX4QL18,My Grandson is very happy with this laptop!,181,5
182,B000050ZRE,A14HDK1OLFYMVM,A366GHYFWYLVCI,Great find.  Seller stellar.  Need more.,182,5
183,B000050ZRE,A14HDK1OLFYMVM,ACP6W0CULQ26N,great,183,5
184,B000050ZRE,A14HDK1OLFYMVM,AIT20JDK6ZWZN,"Unit came used, but in fine condition. Seems to be working well. I have not tried any advanced funct",184,5
185,B000050ZRE,A14HDK1OLFYMVM,A1LNWNTJV8OXKC,Excellent,185,5
186,B000050ZRE,A14HDK1OLFYMVM,A2RM0Q8VFSH0OW,Great price from a company that also provides massive amounts of help for all your communication nee,186,5
187,B000050ZRE,A14HDK1OLFYMVM,A2QU1RTXCWNAVA,"I have had this for years, it works great, no power sag.",187,5
188,B000050ZRE,A14HDK1OLFYMVM,A2GG6IJ55UX6YZ,This AP rocks!!! I miss you 3Com!!!!,188,5
189,B000050ZRE,A14HDK1OLFYMVM,A32OJFTLJUUPZI,Love this! Good deal too!,189,5
190,B000050ZRE,A14HDK1OLFYMVM,ALXRKQ572JVN4,shelved the item when  i found significant rf noise,190,5
191,B000050ZRE,A14HDK1OLFYMVM,AK3K19MB191ZO,"It has worked for us reliably, and we don' have any complaint with its functioning. Besides, this sw",191,5
